0	diwo	86	ok	-
1	akhabweka	750	ok	++++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?b+?w+?ek+?a;++++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?b+?w+?ek+?a;++++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?b+?w+?ek+?a;+++++|a+?(kh)a+?b+?w+?ek+?a;+++++|a+?(kh)a+?b+?w+?ek+?a;+++++|a+?(kh)a+?b+?w+?ek+?a;++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?bwek+?a;++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?bwek+?a;++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?bwek+?a;++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?bwek+?a;++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?bwek+?a;++++|a+?(kh)a+?[(^0)(*0)(&0)∅]?+?bwek+?a;+++|a+?(kh)a+?bwek+?a;+++|a+?(kh)a+?bwek+?a;+++|a+?(kh)a+?bwek+?a;+++|a+?(kh)a+?bwek+?a;+++|a+?(kh)a+?bwek+?a;+++|a+?(kh)a+?bwek+?a
2	anango	43	ok	++|a+?[mn]a[mn]g+?o;+|a+?[mn]a[mn]go;+|a+?[mn]a[mn]go
3	bweka	61	ok	-
4	kalani	700	ok	-
5	kukudziwani	11157	TIMEOUT	-
6	kuphataniza	31	ok	+++|ku+?[(^0)(*0)(&0)∅]?+?(ph)ata[mn]iz+?a;++|ku+?(ph)ata[mn]iz+?a
7	agumana	160	ok	+++|a+?[(^0)(*0)(&0)∅]?+?gu[mn]a[mn]+?a;++|a+?gu[mn]a[mn]+?a
8	kapulumuka	4278	ok	+++|ka+?[(^0)(*0)(&0)∅]?+?pulu[mn]uk+?a;++|ka+?pulu[mn]uk+?a
9	ano	27	ok	++|a+?[mn]+?o;+|a+?[mn]o
10	kutawirirwa	2915	ok	+++++|ku+?[(^0)(*0)(&0)∅]?+?tawir+?ir+?w+?a;++++|ku+?tawir+?ir+?w+?a
11	kundisandukira	7167	TIMEOUT	-
12	aena	15	ok	-
13	kutonga	18	ok	+++|ku+?[(^0)(*0)(&0)∅]?+?to[mn]g+?a;++|ku+?to[mn]g+?a
14	anyakupipoloza	720	ok	-
15	kunakhonda	55	ok	++++|ku+?[mn]a+?[(^0)(*0)(&0)∅]?+?(kh)o[mn]d+?a;++++|ku+?[mn]a+?[(^0)(*0)(&0)∅]?+?(kh)o[mn]d+?a;+++|ku+?[mn]a+?(kh)o[mn]d+?a;+++|ku+?[mn]a+?(kh)o[mn]d+?a
16	mbaani	570	ok	-
17	kwawo	112	ok	++|kw+?a+?wo
18	ikha	5	ok	-
19	inalonga	23	ok	-
20	mphale	6	ok	+|[mn]+?(ph)ale;+|[mn]+?(ph)ale;+|[mn]+?(ph)ale;+|[mn]+?(ph)ale;+|[mn]+?(ph)ale;+|[mn]+?(ph)ale;+|[mn]+?(ph)ale
21	zabuloni	2187	ok	-
22	serves	13	ok	-
23	wamaso	17	ok	-
24	kunacitirwa	8401	ok	++++++|ku+?[mn]a+?[(^0)(*0)(&0)∅]?+?cit+?ir+?w+?a;++++++|ku+?[mn]a+?[(^0)(*0)(&0)∅]?+?cit+?ir+?w+?a;+++++|ku+?[mn]a+?cit+?ir+?w+?a;+++++|ku+?[mn]a+?cit+?ir+?w+?a
25	py	1	ok	-
26	kueneko	570	ok	-
27	munabva	46	ok	++++|[mn]u+?[mn]a+?[(^0)(*0)(&0)∅]?+?(bv)+?a;++++|[mn]u+?[mn]a+?[(^0)(*0)(&0)∅]?+?(bv)+?a;+++|[mn]u+?[mn]a+?(bv)+?a;+++|[mn]u+?[mn]a+?(bv)+?a
28	kuchita	13	ok	+++|ku+?[(^0)(*0)(&0)∅]?+?(ch)it+?a;++|ku+?(ch)it+?a
29	kacita	101	ok	+++|ka+?[(^0)(*0)(&0)∅]?+?cit+?a;++|ka+?cit+?a
30	mankhadzi	1007	ok	++|[mn]a+?[mn]+?(kh)a(dz)i;++|[mn]a+?[mn]+?(kh)a(dz)i;++|[mn]a+?[mn]+?(kh)a(dz)i;+|[(^0)(*0)(&0)∅]?+?[mn]a[mn](kh)a(dz)i;+|[(^0)(*0)(&0)∅]?+?[mn]a[mn](kh)a(dz)i;+|[(^0)(*0)(&0)∅]?+?[mn]a[mn](kh)a(dz)i
31	kapha	26	ok	+++|ka+?[(^0)(*0)(&0)∅]?+?(ph)+?a;++|ka+?(ph)+?a
32	mbaimenya	54	ok	++++|[mn]b+?a+?i+?[mn]e[mn]y+?a;++++|[mn]b+?a+?i+?[mn]e[mn]y+?a;++++|[mn]b+?a+?i+?[mn]e[mn]y+?a
